address,unit,beds,baths,rent,sqft,avail,pets,parking,built,renovated,num_units,stories,fitness,outdoor
"303 W 76th St, New York, NY 10023",-1,2,2.0,4950,-1,0,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"118 W 73rd St, New York, NY 10023",-1,1,1.0,2650,500,1,,,N/A,N/A,N/A,N/A,N/A,Gated;Roof Terrace
"305 Amsterdam Ave, New York, NY 10023",-1,3,2.0,4800,800,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"47 W 68th St, New York, NY 10023",-1,0,1.0,1900,400,1,Dogs Allowed,,N/A,N/A,N/A,N/A,N/A,Gated
"312 W 73rd St, New York, NY 10023",-1,0,1.5,2225,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"25 W 68th St, New York, NY 10023",-1,1,1.0,5900,1200,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"148 W 68th St, New York, NY 10023",-1,1,1.0,2695,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"34 W 65th St, New York, NY 10023",-1,1,1.0,3275,800,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"160 W 73rd St, New York, NY 10023",-1,1,1.0,3950,900,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"141 W 73rd St, New York, NY 10023",-1,1,1.0,2700,700,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"101 W 77th St, New York, NY 10024",-1,0,1.0,2095,500,1,,,N/A,N/A,N/A,N/A,N/A,Gated
"117 W 58th St, New York, NY 10019",-1,0,1.0,2195,500,1,,,N/A,N/A,N/A,N/A,N/A,Gated
"106 Central Park S, New York, NY 10019",-1,2,3.0,8500,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"182 W 58th St, New York, NY 10019",-1,2,1.0,4975,900,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,Gated
"116 Central Park S, New York, NY 10019",-1,1,2.0,4550,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"155 W 71st St, New York, NY 10023",-1,0,1.0,2900,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"27 W 72nd St, New York, NY 10023",-1,1,1.0,4395,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"1 West End Ave, New York, NY 10023",-1,1,1.0,6000,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"200 West End Ave, New York, NY 10023",-1,1,1.0,4300,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"155 W 70th St, New York, NY 10023",-1,0,1.0,3000,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"140 W 70th St, New York, NY 10023",-1,1,1.0,2375,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"205 W 76th St, New York, NY 10023",-1,0,1.0,3695,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"114 W 76th St, New York, NY 10023",-1,1,1.0,2900,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"112 W 72nd St, New York, NY 10023",-1,1,1.0,2800,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"104 W 70th St, New York, NY 10023",-1,2,2.0,6200,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"160 W 66th St, New York, NY 10023",-1,1,1.5,5300,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"150 Columbus Ave, New York, NY 10023",-1,2,2.5,7950,-1,0,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"161 W 61st St, New York, NY 10023",-1,2,2.0,6250,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,Balcony
"219 W 70th St, New York, NY 10023",-1,2,2.0,6475,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"132 W 74th St, New York, NY 10023",-1,1,1.0,3225,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"256 W 73rd St, New York, NY 10023",-1,1,1.0,3000,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"9 W 70th St, New York, NY 10023",-1,3,2.0,6850,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"156 W 72nd St, New York, NY 10023",-1,0,1.0,2195,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"211 W 71st St, New York, NY 10023",-1,1,1.0,4295,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"30 W 63rd St, New York, NY 10023",1 Bedroom / 1 Bathroom,1,1.0,4660,673,1,Dogs Allowed;Cats Allowed,Other,N/A,N/A,N/A,N/A,Fitness Center;Pool;Bike Storage,Roof Terrace;Sundeck
"30 W 63rd St, New York, NY 10023",1 Bedroom / 1 Bathroom,1,1.0,5025,673,1,Dogs Allowed;Cats Allowed,Other,N/A,N/A,N/A,N/A,Fitness Center;Pool;Bike Storage,Roof Terrace;Sundeck
"30 W 63rd St, New York, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,7925,1193,1,Dogs Allowed;Cats Allowed,Other,N/A,N/A,N/A,N/A,Fitness Center;Pool;Bike Storage,Roof Terrace;Sundeck
"30 W 63rd St, New York, NY 10023",2 Bedroom / 2 Bathroom,2,2.0,7925,1193,1,Dogs Allowed;Cats Allowed,Other,N/A,N/A,N/A,N/A,Fitness Center;Pool;Bike Storage,Roof Terrace;Sundeck
"30 W 63rd St, New York, NY 10023",1 Bedroom / 1 Bathroom,1,1.0,4295,673,0,Dogs Allowed;Cats Allowed,Other,N/A,N/A,N/A,N/A,Fitness Center;Pool;Bike Storage,Roof Terrace;Sundeck
"240 Riverside Blvd, New York, NY 10023",-1,3,3.0,12995,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"49 W 73rd St, New York, NY 10023",-1,2,2.0,3950,-1,0,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,Deck
"46 W 70th St, New York, NY 10023",-1,2,3.0,9000,-1,0,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,Balcony
"235 W 75th St, New York, NY 10023",-1,3,3.0,17000,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"10 West End Ave, New York, NY 10023",-1,1,1.0,3950,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"230 West End Ave, New York, NY 10023",-1,2,2.0,6250,1050,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"135 W 70th St, New York, NY 10023",-1,2,2.0,6200,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"242 W 61st St, New York, NY 10023",-1,1,1.0,3450,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"10 W 65th St, New York, NY 10023",-1,1,1.0,5800,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"263 West End Ave, New York, NY 10023",-1,1,1.0,3650,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"41 W 72nd St, New York, NY 10023",-1,3,4.0,10500,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"57 W 75th St, New York, NY 10023",-1,1,1.0,4500,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
